acousticness,analysis_url,danceability,duration_ms,energy,track_id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,artist_name,track_name,popularity,bbhot,artist_popularity,artist_followers
0.229,https://api.spotify.com/v1/audio-analysis/5esPpmrM2AsyDVgOKzWQwU,0.58,240600,0.687,5esPpmrM2AsyDVgOKzWQwU,0,6,0.109,-5.4,1,0.106,76.014,4,https://api.spotify.com/v1/tracks/5esPpmrM2AsyDVgOKzWQwU,audio_features,spotify:track:5esPpmrM2AsyDVgOKzWQwU,0.187,Leon Bridges,Beyond,74,0,75,759755
0.423,https://api.spotify.com/v1/audio-analysis/5tAa8Uaqr4VvA3693mbIhU,0.665,190932,0.699,5tAa8Uaqr4VvA3693mbIhU,0,11,0.0969,-5.265,1,0.0578,124.896,4,https://api.spotify.com/v1/tracks/5tAa8Uaqr4VvA3693mbIhU,audio_features,spotify:track:5tAa8Uaqr4VvA3693mbIhU,0.585,Zara Larsson,Ruin My Life,87,1,84,5003862
0.243,https://api.spotify.com/v1/audio-analysis/0RFLlf7uUUUCgDUT6sJsBQ,0.742,157499,0.761,0RFLlf7uUUUCgDUT6sJsBQ,0,9,0.112,-2.939,0,0.0287,113.051,3,https://api.spotify.com/v1/tracks/0RFLlf7uUUUCgDUT6sJsBQ,audio_features,spotify:track:0RFLlf7uUUUCgDUT6sJsBQ,0.724,El de La Guitarra,No Andamos Solos,67,0,72,517749
0.00598,https://api.spotify.com/v1/audio-analysis/6YQUuoMnRIMaOmouYoMfQr,0.552,199413,0.804,6YQUuoMnRIMaOmouYoMfQr,0,8,0.111,-4.299,1,0.0303,95.98,4,https://api.spotify.com/v1/tracks/6YQUuoMnRIMaOmouYoMfQr,audio_features,spotify:track:6YQUuoMnRIMaOmouYoMfQr,0.714,Barns Courtney,"""99""",70,0,68,193629
0.372,https://api.spotify.com/v1/audio-analysis/38844QuZDlnt44uHPrSA3S,0.889,199012,0.516,38844QuZDlnt44uHPrSA3S,0,8,0.0926,-8.852,1,0.327,140.005,4,https://api.spotify.com/v1/tracks/38844QuZDlnt44uHPrSA3S,audio_features,spotify:track:38844QuZDlnt44uHPrSA3S,0.732,Gunna,Oh Okay (feat. Young Thug & Lil Baby),62,0,88,1051423
0.958,https://api.spotify.com/v1/audio-analysis/53Wsf11ElpPr1WAGtRQlcx,0.384,223347,0.165,53Wsf11ElpPr1WAGtRQlcx,0,2,0.101,-9.601,1,0.0446,68.469,4,https://api.spotify.com/v1/tracks/53Wsf11ElpPr1WAGtRQlcx,audio_features,spotify:track:53Wsf11ElpPr1WAGtRQlcx,0.333,Maisie Peters,Feels Like This,68,0,69,54741
0.0323,https://api.spotify.com/v1/audio-analysis/2aI2k39nfa3KFsa4JclQzw,0.671,209355,0.859,2aI2k39nfa3KFsa4JclQzw,0,4,0.267,-3.922,0,0.0833,139.931,4,https://api.spotify.com/v1/tracks/2aI2k39nfa3KFsa4JclQzw,audio_features,spotify:track:2aI2k39nfa3KFsa4JclQzw,0.389,BLACKPINK,DDU-DU DDU-DU,78,0,88,6650381
0.371,https://api.spotify.com/v1/audio-analysis/7KA4W4McWYRpgf0fWsJZWB,0.558,180387,0.559,7KA4W4McWYRpgf0fWsJZWB,7.49E-06,6,0.109,-9.222,1,0.0959,78.558,4,https://api.spotify.com/v1/tracks/7KA4W4McWYRpgf0fWsJZWB,audio_features,spotify:track:7KA4W4McWYRpgf0fWsJZWB,0.62,"Tyler, The Creator",See You Again,78,1,80,2692685
0.274,https://api.spotify.com/v1/audio-analysis/30z4LVkScpeNhwHFIB8Ewa,0.671,210197,0.565,30z4LVkScpeNhwHFIB8Ewa,6.51E-05,11,0.37,-7.401,0,0.16,150.014,4,https://api.spotify.com/v1/tracks/30z4LVkScpeNhwHFIB8Ewa,audio_features,spotify:track:30z4LVkScpeNhwHFIB8Ewa,0.561,Joyner Lucas,I Love,78,1,77,681501
0.0306,https://api.spotify.com/v1/audio-analysis/5TlWkwZyx3L5Dh3yybmxHO,0.927,109302,0.563,5TlWkwZyx3L5Dh3yybmxHO,0,7,0.0736,-5.827,1,0.175,103.312,4,https://api.spotify.com/v1/tracks/5TlWkwZyx3L5Dh3yybmxHO,audio_features,spotify:track:5TlWkwZyx3L5Dh3yybmxHO,0.842,Saweetie,ICY GRL,71,0,71,325818
0.156,https://api.spotify.com/v1/audio-analysis/4VSDHncHqb5DjWdVAGF9Nq,0.728,185600,0.914,4VSDHncHqb5DjWdVAGF9Nq,6.92E-05,0,0.15,-1.413,0,0.31,74.969,4,https://api.spotify.com/v1/tracks/4VSDHncHqb5DjWdVAGF9Nq,audio_features,spotify:track:4VSDHncHqb5DjWdVAGF9Nq,0.527,Datsik,Monster,56,1,57,264285
0.601,https://api.spotify.com/v1/audio-analysis/3yOs8FffuG6hPbzQG9lIqV,0.594,207933,0.808,3yOs8FffuG6hPbzQG9lIqV,0,1,0.119,-5.749,1,0.0615,144.028,4,https://api.spotify.com/v1/tracks/3yOs8FffuG6hPbzQG9lIqV,audio_features,spotify:track:3yOs8FffuG6hPbzQG9lIqV,0.73,Chris Lane,I Don't Know About You,75,0,67,218028
